Image_ID,Degradation,AFLB,alpha,beta,mask_area_pct
H011,Haze,AFLB3,0.4968000650405884,0.4975803792476654,0
H012,Haze,AFLB1,0.4937476217746735,0.5079048871994019,0
H012,Haze,AFLB2,0.4912191331386566,0.4952296018600464,0
H012,Haze,AFLB3,0.4971016347408295,0.4974169135093689,0
H013,Haze,AFLB1,0.4928063154220581,0.5089520215988159,0
H013,Haze,AFLB2,0.4897142946720123,0.4949515461921692,0
H013,Haze,AFLB3,0.496147632598877,0.4970020949840546,0
H014,Haze,AFLB1,0.4938036501407623,0.5078506469726562,0
H014,Haze,AFLB2,0.4912345409393311,0.4952536225318909,0
H014,Haze,AFLB3,0.4970898628234863,0.4974276423454285,0
H015,Haze,AFLB1,0.4928115606307983,0.50931715965271,0
H015,Haze,AFLB2,0.4897194504737854,0.4940572082996368,0
H015,Haze,AFLB3,0.4969125390052795,0.496950626373291,0
H016,Haze,AFLB1,0.4931188225746155,0.508802056312561,0
H016,Haze,AFLB2,0.4902378618717194,0.4945093989372253,0
H016,Haze,AFLB3,0.4969024658203125,0.4971077740192413,0
H017,Haze,AFLB1,0.4939934909343719,0.50791335105896,0
H017,Haze,AFLB2,0.491669774055481,0.4945421516895294,0
H017,Haze,AFLB3,0.4980270862579346,0.4974677860736847,0
H018,Haze,AFLB1,0.4952647387981415,0.5058305263519287,0
H018,Haze,AFLB2,0.49354088306427,0.4964755177497864,0
H018,Haze,AFLB3,0.4978602230548859,0.4981103241443634,0
H019,Haze,AFLB1,0.4937489926815033,0.5078363418579102,0
H019,Haze,AFLB2,0.4911478161811829,0.4954214096069336,0
H019,Haze,AFLB3,0.4968965649604797,0.4974269568920135,0
H020,Haze,AFLB1,0.494036465883255,0.5073438882827759,0
H020,Haze,AFLB2,0.4916606545448303,0.4958524703979492,0
H020,Haze,AFLB3,0.4968789219856262,0.4975749552249908,0
H021,Haze,AFLB1,0.4939393699169159,0.5074916481971741,0
H021,Haze,AFLB2,0.4913716316223145,0.4958074688911438,0
H021,Haze,AFLB3,0.496736615896225,0.4975103735923767,0
H022,Haze,AFLB1,0.493920236825943,0.5077529549598694,0
H022,Haze,AFLB2,0.4914924204349518,0.4952481389045715,0
H022,Haze,AFLB3,0.4973072111606598,0.4974794685840607,0
H023,Haze,AFLB1,0.4940679669380188,0.5073717832565308,0
H023,Haze,AFLB2,0.4917049705982208,0.4959529638290405,0
H023,Haze,AFLB3,0.4968989193439484,0.4975910484790802,0
H024,Haze,AFLB1,0.4941074848175049,0.5072935223579407,0
H024,Haze,AFLB2,0.4917432069778442,0.4960347414016724,0
H024,Haze,AFLB3,0.496835470199585,0.4976036250591278,0
H025,Haze,AFLB1,0.4928660690784454,0.5090654492378235,0
H025,Haze,AFLB2,0.489838182926178,0.4945382475852966,0
H025,Haze,AFLB3,0.4965445697307587,0.4970015585422516,0
H026,Haze,AFLB1,0.4934394657611847,0.5083486437797546,0
H026,Haze,AFLB2,0.4906977713108063,0.4951162338256836,0
H026,Haze,AFLB3,0.4968267679214478,0.4972726702690125,0
H027,Haze,AFLB1,0.4933333098888397,0.5085868239402771,0
H027,Haze,AFLB2,0.4906308352947235,0.4946220517158508,0
H027,Haze,AFLB3,0.49714595079422,0.4972119629383087,0
