Image_ID,Degradation,Dataset,Filename,Noise_Sigma,PSNR,SSIM,H,W
N037,Noise,BSD68,197017.jpg,25.0,30.67259245189254,0.8643695700377517,320,480
N038,Noise,BSD68,208001.jpg,25.0,31.18246570903427,0.8660962692614049,480,320
N039,Noise,BSD68,210088.jpg,25.0,35.14107099452518,0.9413039090340201,480,320
N040,Noise,BSD68,21077.jpg,25.0,31.56652021296254,0.8495713350968691,320,480
N041,Noise,BSD68,216081.jpg,25.0,30.3544790953747,0.8880649974885363,320,480
N042,Noise,BSD68,219090.jpg,25.0,32.04425834831562,0.8745604666086374,320,480
N043,Noise,BSD68,220075.jpg,25.0,32.66807217641293,0.9203938064988003,320,480
N044,Noise,BSD68,223061.jpg,25.0,30.56195350958315,0.921000493596107,320,480
N045,Noise,BSD68,227092.jpg,25.0,35.70961852271957,0.9151258992367688,480,320
N046,Noise,BSD68,229036.jpg,25.0,29.07205682326451,0.8745813974997972,320,480
N047,Noise,BSD68,236037.jpg,25.0,29.12551712992419,0.8883322032832023,320,480
N048,Noise,BSD68,24077.jpg,25.0,32.19185067053457,0.9467670045391471,320,480
N049,Noise,BSD68,241004.jpg,25.0,33.26081629860633,0.8595844877683109,320,480
N050,Noise,BSD68,241048.jpg,25.0,29.32587714557778,0.872585125189499,320,480
N051,Noise,BSD68,253027.jpg,25.0,30.88853218404415,0.8763590509186562,320,480
N052,Noise,BSD68,253055.jpg,25.0,33.84078648326757,0.8718117863050301,320,480
N053,Noise,BSD68,260058.jpg,25.0,32.996973958349,0.8417946434481135,320,480
N054,Noise,BSD68,271035.jpg,25.0,31.61020435682389,0.8882287766248566,480,320
N055,Noise,BSD68,285079.jpg,25.0,30.06735395985764,0.8775053980838635,480,320
N056,Noise,BSD68,291000.jpg,25.0,26.74247962899114,0.891860087470862,320,480
N057,Noise,BSD68,295087.jpg,25.0,30.52210463025598,0.8950965432773027,320,480
N058,Noise,BSD68,296007.jpg,25.0,32.53479617058028,0.8429010065866128,320,480
N059,Noise,BSD68,296059.jpg,25.0,32.19445067781284,0.8487363575923829,320,480
N060,Noise,BSD68,299086.jpg,25.0,32.91400292439756,0.8568319840514534,320,480
N061,Noise,BSD68,300091.jpg,25.0,32.44706375555691,0.8588873451578136,320,480
N062,Noise,BSD68,302008.jpg,25.0,36.07777882036897,0.9505188375969414,480,320
N063,Noise,BSD68,304034.jpg,25.0,29.10194751480017,0.9071098777428982,320,480
N064,Noise,BSD68,304074.jpg,25.0,29.0242564486299,0.8379723854801266,480,320
N065,Noise,BSD68,306005.jpg,25.0,30.90576155714288,0.8813008138426257,320,480
N066,Noise,BSD68,3096.jpg,25.0,40.54627307426497,0.9687135498547635,320,480
N067,Noise,BSD68,33039.jpg,25.0,27.68549446942117,0.9280147156769637,480,320
N068,Noise,BSD68,351093.jpg,25.0,28.99255612640162,0.9247173393573744,320,480
N069,Noise,BSD68,101085.jpg,15.0,31.24217220522149,0.9190696579775803,480,320
N070,Noise,BSD68,101087.jpg,15.0,35.11886404752129,0.9511688598412383,480,320
N071,Noise,BSD68,102061.jpg,15.0,34.88652002118521,0.9322743850406536,480,320
N072,Noise,BSD68,103070.jpg,15.0,35.63238992001394,0.9445962394391803,320,480
N073,Noise,BSD68,105025.jpg,15.0,32.94649138569361,0.9456053031313868,320,480
N074,Noise,BSD68,106024.jpg,15.0,37.37830342361072,0.9556451745203152,320,480
N075,Noise,BSD68,108005.jpg,15.0,33.66406528828129,0.9363662193028569,320,480
N076,Noise,BSD68,108070.jpg,15.0,31.7640720780489,0.9239166983713406,320,480
N077,Noise,BSD68,108082.jpg,15.0,34.13438970260214,0.9436896851337826,320,480
N078,Noise,BSD68,109053.jpg,15.0,34.51535732299701,0.9328304065812212,320,480
N079,Noise,BSD68,119082.jpg,15.0,34.3702980834175,0.9547912339566323,320,480
N080,Noise,BSD68,12084.jpg,15.0,32.80579530304065,0.9179401540281967,320,480
N081,Noise,BSD68,123074.jpg,15.0,34.5337367569746,0.9392368569454345,320,480
N082,Noise,BSD68,126007.jpg,15.0,35.4745552186666,0.9298510989142904,320,480
N083,Noise,BSD68,130026.jpg,15.0,32.70086481521246,0.9200858808350484,320,480
N084,Noise,BSD68,134035.jpg,15.0,33.57856425885383,0.9504601809036272,320,480
N085,Noise,BSD68,14037.jpg,50.0,31.997431846466,0.8414177487288895,320,480
N086,Noise,BSD68,143090.jpg,50.0,31.8338282581445,0.8742121591718514,320,480
N087,Noise,BSD68,145086.jpg,50.0,27.3935224384144,0.7746989596408778,320,480
N088,Noise,BSD68,147091.jpg,50.0,27.85526429165352,0.8143093781811541,320,480
N089,Noise,BSD68,148026.jpg,50.0,25.20372341435774,0.8381387267568582,480,320
N090,Noise,BSD68,148089.jpg,50.0,26.19760054864759,0.779167990790866,320,480
N091,Noise,BSD68,157055.jpg,50.0,27.59331265072101,0.8319525121544497,320,480
N092,Noise,BSD68,159008.jpg,50.0,27.58433439877296,0.828883152902188,320,480
N093,Noise,BSD68,160068.jpg,50.0,28.42565061730589,0.8949548086106901,320,480
N094,Noise,BSD68,16077.jpg,50.0,27.58111512384206,0.7709559432679091,320,480
N095,Noise,BSD68,163085.jpg,50.0,28.99410846743228,0.8026341430171554,320,480
N096,Noise,BSD68,167062.jpg,50.0,32.14707238221754,0.8529357576372014,320,480
N097,Noise,BSD68,167083.jpg,50.0,23.48588145132393,0.804043561412051,480,320
