Image_ID,Degradation,AFLB,fft_energy,low_energy,high_energy,low_pct,high_pct
H068,Haze,AFLB1,8.040876388549805,0,8.040876388549805,0,100
H068,Haze,AFLB2,11.303391456604,0,11.303391456604,0,100
H068,Haze,AFLB3,2.223296642303467,0,2.223296642303467,0,100
H069,Haze,AFLB1,9.070921897888184,0,9.070921897888184,0,100
H069,Haze,AFLB2,13.04825210571289,0,13.04825210571289,0,100
H069,Haze,AFLB3,2.589369535446167,0,2.589369535446167,0,100
H070,Haze,AFLB1,7.877284526824951,0,7.877284526824951,0,100
H070,Haze,AFLB2,10.75137805938721,0,10.75137805938721,0,100
H070,Haze,AFLB3,2.093954563140869,0,2.093954563140869,0,100
H071,Haze,AFLB1,9.172937393188477,0,9.172937393188477,0,100
H071,Haze,AFLB2,12.7222318649292,0,12.7222318649292,0,100
H071,Haze,AFLB3,2.482182025909424,0,2.482182025909424,0,100
H072,Haze,AFLB1,9.527003288269043,0,9.527003288269043,0,100
H072,Haze,AFLB2,13.03418064117432,0,13.03418064117432,0,100
H072,Haze,AFLB3,2.532042026519775,0,2.532042026519775,0,100
H073,Haze,AFLB1,7.671771049499512,0,7.671771049499512,0,100
H073,Haze,AFLB2,10.51645565032959,0,10.51645565032959,0,100
H073,Haze,AFLB3,2.047244071960449,0,2.047244071960449,0,100
H074,Haze,AFLB1,6.598637104034424,0,6.598637104034424,0,100
H074,Haze,AFLB2,10.75950336456299,0,10.75950336456299,0,100
H074,Haze,AFLB3,2.24283766746521,0,2.24283766746521,0,100
H075,Haze,AFLB1,6.740654945373535,0,6.740654945373535,0,100
H075,Haze,AFLB2,9.04057788848877,0,9.04057788848877,0,100
H075,Haze,AFLB3,1.74317729473114,0,1.74317729473114,0,100
H076,Haze,AFLB1,10.05585861206055,0,10.05585861206055,0,100
H076,Haze,AFLB2,11.67814636230469,0,11.67814636230469,0,100
H076,Haze,AFLB3,2.126396894454956,0,2.126396894454956,0,100
H077,Haze,AFLB1,7.457822322845459,0,7.457822322845459,0,100
H077,Haze,AFLB2,11.66857719421387,0,11.66857719421387,0,100
H077,Haze,AFLB3,2.396192312240601,0,2.396192312240601,0,100
H078,Haze,AFLB1,9.915420532226562,0,9.915420532226562,0,100
H078,Haze,AFLB2,14.31011962890625,0,14.31011962890625,0,100
H078,Haze,AFLB3,2.838301181793213,0,2.838301181793213,0,100
H079,Haze,AFLB1,5.706295013427734,0,5.706295013427734,0,100
H079,Haze,AFLB2,9.191843032836914,0,9.191843032836914,0,100
H079,Haze,AFLB3,1.905745506286621,0,1.905745506286621,0,100
H080,Haze,AFLB1,8.230206489562988,0,8.230206489562988,0,100
H080,Haze,AFLB2,11.46542644500732,0,11.46542644500732,0,100
H080,Haze,AFLB3,2.242206335067749,0,2.242206335067749,0,100
H081,Haze,AFLB1,7.60833215713501,0,7.60833215713501,0,100
