Image_ID,Degradation,AFLB,hl_mean,hl_std,lh_mean,lh_std,agg_energy,cross_agg_energy,aflb_out_mean,aflb_out_std,aflb_out_energy
R031,Rain,AFLB2,0.06048133224248886,0.0400284007191658,0.02055159769952297,0.1276083737611771,20566.82421875,2419.29052734375,-0.002022006316110492,0.04572560265660286,3861.355712890625
R031,Rain,AFLB3,0.4999288022518158,4.482493750401773e-05,0.4999893605709076,8.220796007663012e-05,39.65896606445312,7.120343639144266e-07,0.001055779750458896,0.01053228601813316,413.0379638671875
R032,Rain,AFLB1,0.00381260272115469,0.01166988164186478,0.08158457279205322,0.2679067552089691,60481.8828125,250.0496520996094,-0.0005446672439575195,0.03268269822001457,984.6884765625
R032,Rain,AFLB2,0.03534993529319763,0.03042032569646835,0.02215710841119289,0.1288039684295654,21525.47265625,4423.90087890625,-0.001851722365245223,0.03359999507665634,2087.218994140625
R032,Rain,AFLB3,0.4999199509620667,4.22702323703561e-05,0.4999882280826569,8.393283496843651e-05,39.54650497436523,6.312365030680667e-07,0.0008989860070869327,0.01026400830596685,391.3409729003906
R033,Rain,AFLB1,0.0003073010302614421,0.001665569376200438,0.08085369318723679,0.2706977427005768,44056.0546875,860.8092041015625,-0.0002121764118783176,0.03957163915038109,1443.188232421875
R033,Rain,AFLB2,0.03909662738442421,0.03020031750202179,0.02204604260623455,0.1283140778541565,24313.1328125,3830.607666015625,-0.00159221061039716,0.03499644994735718,2262.134765625
R033,Rain,AFLB3,0.4999172985553741,6.33205781923607e-05,0.4999875724315643,9.159385808743536e-05,39.86658096313477,6.234125180526462e-07,0.0007101448136381805,0.01015225145965815,381.8096618652344
R034,Rain,AFLB1,0.0002535802486818284,0.002956145210191607,0.08071158081293106,0.2723403871059418,105396.9296875,832.257568359375,-0.0004719748976640403,0.04357421025633812,1750.058227539062
R034,Rain,AFLB2,0.04344707727432251,0.02871912159025669,0.02038636617362499,0.1274641752243042,17052.517578125,1813.307983398438,-0.001716600148938596,0.03500712290406227,2264.2705078125
